input,output,split
02 + 11 = ???,02 + 11 = 013,train
88 + 18 = ???,88 + 18 = 106,train
89 + 80 = ???,89 + 80 = 169,train
27 + 36 = ???,27 + 36 = 063,train
54 + 77 = ???,54 + 77 = 131,train
85 + 69 = ???,85 + 69 = 154,train
00 + 86 = ???,00 + 86 = 086,train
13 + 40 = ???,13 + 40 = 053,train
50 + 82 = ???,50 + 82 = 132,train
49 + 19 = ???,49 + 19 = 068,train
35 + 72 = ???,35 + 72 = 107,train
53 + 33 = ???,53 + 33 = 086,train
53 + 36 = ???,53 + 36 = 089,train
56 + 78 = ???,56 + 78 = 134,train
01 + 62 = ???,01 + 62 = 063,train
31 + 12 = ???,31 + 12 = 043,train
17 + 84 = ???,17 + 84 = 101,train
94 + 98 = ???,94 + 98 = 192,train
55 + 99 = ???,55 + 99 = 154,train
76 + 67 = ???,76 + 67 = 143,train
66 + 67 = ???,66 + 67 = 133,train
82 + 99 = ???,82 + 99 = 181,train
04 + 48 = ???,04 + 48 = 052,train
73 + 88 = ???,73 + 88 = 161,train
19 + 96 = ???,19 + 96 = 115,train
45 + 78 = ???,45 + 78 = 123,train
50 + 17 = ???,50 + 17 = 067,train
44 + 29 = ???,44 + 29 = 073,train
29 + 43 = ???,29 + 43 = 072,train
58 + 90 = ???,58 + 90 = 148,train
71 + 99 = ???,71 + 99 = 170,train
45 + 38 = ???,45 + 38 = 083,train
80 + 37 = ???,80 + 37 = 117,train
89 + 84 = ???,89 + 84 = 173,train
77 + 79 = ???,77 + 79 = 156,train
87 + 80 = ???,87 + 80 = 167,train
67 + 28 = ???,67 + 28 = 095,train
58 + 98 = ???,58 + 98 = 156,train
29 + 03 = ???,29 + 03 = 032,train
67 + 12 = ???,67 + 12 = 079,train
48 + 59 = ???,48 + 59 = 107,train
72 + 89 = ???,72 + 89 = 161,train
74 + 26 = ???,74 + 26 = 100,train
50 + 97 = ???,50 + 97 = 147,train
06 + 54 = ???,06 + 54 = 060,train
16 + 19 = ???,16 + 19 = 035,train
71 + 69 = ???,71 + 69 = 140,train
28 + 26 = ???,28 + 26 = 054,train
94 + 13 = ???,94 + 13 = 107,train
20 + 60 = ???,20 + 60 = 080,train
50 + 53 = ???,50 + 53 = 103,train
93 + 31 = ???,93 + 31 = 124,train
20 + 30 = ???,20 + 30 = 050,train
48 + 30 = ???,48 + 30 = 078,train
04 + 64 = ???,04 + 64 = 068,train
00 + 33 = ???,00 + 33 = 033,train
83 + 26 = ???,83 + 26 = 109,train
32 + 22 = ???,32 + 22 = 054,train
62 + 62 = ???,62 + 62 = 124,train
33 + 84 = ???,33 + 84 = 117,train
80 + 86 = ???,80 + 86 = 166,train
25 + 45 = ???,25 + 45 = 070,train
26 + 76 = ???,26 + 76 = 102,train
82 + 52 = ???,82 + 52 = 134,train
32 + 44 = ???,32 + 44 = 076,train
87 + 39 = ???,87 + 39 = 126,train
11 + 90 = ???,11 + 90 = 101,train
49 + 61 = ???,49 + 61 = 110,train
38 + 90 = ???,38 + 90 = 128,train
66 + 50 = ???,66 + 50 = 116,train
64 + 51 = ???,64 + 51 = 115,train
53 + 03 = ???,53 + 03 = 056,train
91 + 31 = ???,91 + 31 = 122,train
15 + 92 = ???,15 + 92 = 107,train
27 + 51 = ???,27 + 51 = 078,train
27 + 17 = ???,27 + 17 = 044,train
37 + 61 = ???,37 + 61 = 098,train
74 + 63 = ???,74 + 63 = 137,train
96 + 34 = ???,96 + 34 = 130,train
66 + 62 = ???,66 + 62 = 128,train
58 + 38 = ???,58 + 38 = 096,train
02 + 34 = ???,02 + 34 = 036,train
29 + 25 = ???,29 + 25 = 054,train
43 + 95 = ???,43 + 95 = 138,train
66 + 63 = ???,66 + 63 = 129,train
22 + 49 = ???,22 + 49 = 071,train
26 + 19 = ???,26 + 19 = 045,train
53 + 38 = ???,53 + 38 = 091,train
63 + 57 = ???,63 + 57 = 120,train
90 + 45 = ???,90 + 45 = 135,train
07 + 16 = ???,07 + 16 = 023,train
89 + 67 = ???,89 + 67 = 156,train
51 + 22 = ???,51 + 22 = 073,train
59 + 44 = ???,59 + 44 = 103,train
13 + 30 = ???,13 + 30 = 043,train
02 + 32 = ???,02 + 32 = 034,train
28 + 32 = ???,28 + 32 = 060,train
84 + 75 = ???,84 + 75 = 159,train
48 + 55 = ???,48 + 55 = 103,train
92 + 41 = ???,92 + 41 = 133,train
93 + 78 = ???,93 + 78 = 171,train
56 + 29 = ???,56 + 29 = 085,train
67 + 92 = ???,67 + 92 = 159,train
69 + 94 = ???,69 + 94 = 163,train
01 + 05 = ???,01 + 05 = 006,train
18 + 61 = ???,18 + 61 = 079,train
32 + 65 = ???,32 + 65 = 097,train
09 + 96 = ???,09 + 96 = 105,train
25 + 23 = ???,25 + 23 = 048,train
48 + 78 = ???,48 + 78 = 126,train
24 + 00 = ???,24 + 00 = 024,train
57 + 35 = ???,57 + 35 = 092,train
69 + 42 = ???,69 + 42 = 111,train
09 + 43 = ???,09 + 43 = 052,train
65 + 73 = ???,65 + 73 = 138,train
49 + 82 = ???,49 + 82 = 131,train
04 + 90 = ???,04 + 90 = 094,train
74 + 35 = ???,74 + 35 = 109,train
17 + 60 = ???,17 + 60 = 077,train
36 + 56 = ???,36 + 56 = 092,train
50 + 55 = ???,50 + 55 = 105,train
83 + 73 = ???,83 + 73 = 156,train
84 + 20 = ???,84 + 20 = 104,train
27 + 39 = ???,27 + 39 = 066,train
00 + 79 = ???,00 + 79 = 079,train
86 + 78 = ???,86 + 78 = 164,train
78 + 34 = ???,78 + 34 = 112,train
93 + 91 = ???,93 + 91 = 184,train
84 + 25 = ???,84 + 25 = 109,train
67 + 61 = ???,67 + 61 = 128,train
54 + 12 = ???,54 + 12 = 066,train
02 + 42 = ???,02 + 42 = 044,train
93 + 26 = ???,93 + 26 = 119,train
57 + 46 = ???,57 + 46 = 103,train
52 + 49 = ???,52 + 49 = 101,train
21 + 25 = ???,21 + 25 = 046,train
15 + 71 = ???,15 + 71 = 086,train
53 + 41 = ???,53 + 41 = 094,train
08 + 19 = ???,08 + 19 = 027,train
23 + 95 = ???,23 + 95 = 118,train
82 + 28 = ???,82 + 28 = 110,train
02 + 33 = ???,02 + 33 = 035,train
86 + 25 = ???,86 + 25 = 111,train
74 + 01 = ???,74 + 01 = 075,train
12 + 11 = ???,12 + 11 = 023,train
80 + 92 = ???,80 + 92 = 172,train
37 + 08 = ???,37 + 08 = 045,train
67 + 94 = ???,67 + 94 = 161,train
81 + 84 = ???,81 + 84 = 165,train
00 + 10 = ???,00 + 10 = 010,train
40 + 15 = ???,40 + 15 = 055,train
74 + 32 = ???,74 + 32 = 106,train
62 + 30 = ???,62 + 30 = 092,train
57 + 50 = ???,57 + 50 = 107,train
13 + 71 = ???,13 + 71 = 084,train
16 + 21 = ???,16 + 21 = 037,train
89 + 31 = ???,89 + 31 = 120,train
81 + 50 = ???,81 + 50 = 131,train
55 + 44 = ???,55 + 44 = 099,train
92 + 17 = ???,92 + 17 = 109,train
17 + 09 = ???,17 + 09 = 026,train
48 + 04 = ???,48 + 04 = 052,train
90 + 26 = ???,90 + 26 = 116,train
36 + 15 = ???,36 + 15 = 051,train
40 + 96 = ???,40 + 96 = 136,train
41 + 92 = ???,41 + 92 = 133,train
30 + 08 = ???,30 + 08 = 038,train
37 + 67 = ???,37 + 67 = 104,train
62 + 87 = ???,62 + 87 = 149,train
29 + 26 = ???,29 + 26 = 055,train
62 + 18 = ???,62 + 18 = 080,train
91 + 75 = ???,91 + 75 = 166,train
02 + 43 = ???,02 + 43 = 045,train
56 + 13 = ???,56 + 13 = 069,train
08 + 39 = ???,08 + 39 = 047,train
10 + 66 = ???,10 + 66 = 076,train
82 + 53 = ???,82 + 53 = 135,train
95 + 37 = ???,95 + 37 = 132,train
35 + 38 = ???,35 + 38 = 073,train
74 + 81 = ???,74 + 81 = 155,train
50 + 81 = ???,50 + 81 = 131,train
99 + 78 = ???,99 + 78 = 177,train
01 + 09 = ???,01 + 09 = 010,train
49 + 71 = ???,49 + 71 = 120,train
88 + 96 = ???,88 + 96 = 184,train
70 + 05 = ???,70 + 05 = 075,train
80 + 30 = ???,80 + 30 = 110,train
00 + 38 = ???,00 + 38 = 038,train
22 + 36 = ???,22 + 36 = 058,train
50 + 64 = ???,50 + 64 = 114,train
26 + 86 = ???,26 + 86 = 112,train
21 + 83 = ???,21 + 83 = 104,train
71 + 01 = ???,71 + 01 = 072,train
12 + 45 = ???,12 + 45 = 057,train
58 + 04 = ???,58 + 04 = 062,train
58 + 77 = ???,58 + 77 = 135,train
44 + 89 = ???,44 + 89 = 133,train
55 + 18 = ???,55 + 18 = 073,train
09 + 41 = ???,09 + 41 = 050,train
62 + 26 = ???,62 + 26 = 088,train
01 + 85 = ???,01 + 85 = 086,train
92 + 08 = ???,92 + 08 = 100,train
98 + 77 = ???,98 + 77 = 175,train
38 + 27 = ???,38 + 27 = 065,train
90 + 99 = ???,90 + 99 = 189,train
56 + 42 = ???,56 + 42 = 098,train
12 + 49 = ???,12 + 49 = 061,train
47 + 52 = ???,47 + 52 = 099,train
53 + 92 = ???,53 + 92 = 145,train
24 + 07 = ???,24 + 07 = 031,train
22 + 91 = ???,22 + 91 = 113,train
64 + 71 = ???,64 + 71 = 135,train
43 + 63 = ???,43 + 63 = 106,train
92 + 53 = ???,92 + 53 = 145,train
56 + 04 = ???,56 + 04 = 060,train
93 + 30 = ???,93 + 30 = 123,train
32 + 24 = ???,32 + 24 = 056,train
69 + 07 = ???,69 + 07 = 076,train
41 + 60 = ???,41 + 60 = 101,train
84 + 16 = ???,84 + 16 = 100,train
94 + 91 = ???,94 + 91 = 185,train
57 + 00 = ???,57 + 00 = 057,train
21 + 69 = ???,21 + 69 = 090,train
73 + 25 = ???,73 + 25 = 098,train
90 + 09 = ???,90 + 09 = 099,train
24 + 98 = ???,24 + 98 = 122,train
06 + 43 = ???,06 + 43 = 049,train
60 + 27 = ???,60 + 27 = 087,train
27 + 78 = ???,27 + 78 = 105,train
59 + 21 = ???,59 + 21 = 080,train
20 + 97 = ???,20 + 97 = 117,train
56 + 35 = ???,56 + 35 = 091,train
71 + 97 = ???,71 + 97 = 168,train
72 + 16 = ???,72 + 16 = 088,train
45 + 51 = ???,45 + 51 = 096,train
48 + 34 = ???,48 + 34 = 082,train
46 + 23 = ???,46 + 23 = 069,train
48 + 41 = ???,48 + 41 = 089,train
95 + 15 = ???,95 + 15 = 110,train
58 + 00 = ???,58 + 00 = 058,train
40 + 76 = ???,40 + 76 = 116,train
50 + 84 = ???,50 + 84 = 134,train
83 + 93 = ???,83 + 93 = 176,train
81 + 42 = ???,81 + 42 = 123,train
51 + 51 = ???,51 + 51 = 102,train
04 + 57 = ???,04 + 57 = 061,train
80 + 56 = ???,80 + 56 = 136,train
36 + 82 = ???,36 + 82 = 118,train
03 + 99 = ???,03 + 99 = 102,train
15 + 40 = ???,15 + 40 = 055,train
68 + 23 = ???,68 + 23 = 091,train
04 + 09 = ???,04 + 09 = 013,train
42 + 03 = ???,42 + 03 = 045,train
11 + 57 = ???,11 + 57 = 068,train
32 + 21 = ???,32 + 21 = 053,train
78 + 45 = ???,78 + 45 = 123,train
27 + 63 = ???,27 + 63 = 090,train
85 + 30 = ???,85 + 30 = 115,train
65 + 10 = ???,65 + 10 = 075,train
67 + 43 = ???,67 + 43 = 110,train
14 + 15 = ???,14 + 15 = 029,train
35 + 13 = ???,35 + 13 = 048,train
75 + 25 = ???,75 + 25 = 100,train
64 + 08 = ???,64 + 08 = 072,train
10 + 92 = ???,10 + 92 = 102,train
26 + 09 = ???,26 + 09 = 035,train
23 + 06 = ???,23 + 06 = 029,train
02 + 54 = ???,02 + 54 = 056,train
13 + 21 = ???,13 + 21 = 034,train
18 + 19 = ???,18 + 19 = 037,train
94 + 70 = ???,94 + 70 = 164,train
00 + 75 = ???,00 + 75 = 075,train
21 + 11 = ???,21 + 11 = 032,train
48 + 64 = ???,48 + 64 = 112,train
33 + 63 = ???,33 + 63 = 096,train
09 + 29 = ???,09 + 29 = 038,train
27 + 92 = ???,27 + 92 = 119,train
41 + 89 = ???,41 + 89 = 130,train
63 + 09 = ???,63 + 09 = 072,train
77 + 76 = ???,77 + 76 = 153,train
87 + 14 = ???,87 + 14 = 101,train
72 + 77 = ???,72 + 77 = 149,train
23 + 94 = ???,23 + 94 = 117,train
05 + 39 = ???,05 + 39 = 044,train
91 + 90 = ???,91 + 90 = 181,train
51 + 18 = ???,51 + 18 = 069,train
67 + 21 = ???,67 + 21 = 088,train
09 + 68 = ???,09 + 68 = 077,train
40 + 80 = ???,40 + 80 = 120,train
96 + 00 = ???,96 + 00 = 096,train
01 + 36 = ???,01 + 36 = 037,train
04 + 98 = ???,04 + 98 = 102,train
04 + 60 = ???,04 + 60 = 064,train
49 + 09 = ???,49 + 09 = 058,train
07 + 24 = ???,07 + 24 = 031,train
09 + 60 = ???,09 + 60 = 069,train
67 + 09 = ???,67 + 09 = 076,train
35 + 46 = ???,35 + 46 = 081,train
39 + 77 = ???,39 + 77 = 116,train
37 + 13 = ???,37 + 13 = 050,train
37 + 01 = ???,37 + 01 = 038,train
59 + 97 = ???,59 + 97 = 156,train
20 + 11 = ???,20 + 11 = 031,train
58 + 10 = ???,58 + 10 = 068,train
44 + 03 = ???,44 + 03 = 047,train
50 + 30 = ???,50 + 30 = 080,train
15 + 85 = ???,15 + 85 = 100,train
16 + 02 = ???,16 + 02 = 018,train
54 + 00 = ???,54 + 00 = 054,train
40 + 26 = ???,40 + 26 = 066,train
63 + 53 = ???,63 + 53 = 116,train
61 + 45 = ???,61 + 45 = 106,train
33 + 58 = ???,33 + 58 = 091,train
85 + 92 = ???,85 + 92 = 177,train
64 + 56 = ???,64 + 56 = 120,train
09 + 04 = ???,09 + 04 = 013,train
26 + 47 = ???,26 + 47 = 073,train
57 + 60 = ???,57 + 60 = 117,train
92 + 30 = ???,92 + 30 = 122,train
34 + 98 = ???,34 + 98 = 132,train
16 + 00 = ???,16 + 00 = 016,train
28 + 58 = ???,28 + 58 = 086,train
78 + 39 = ???,78 + 39 = 117,train
97 + 88 = ???,97 + 88 = 185,train
57 + 21 = ???,57 + 21 = 078,train
43 + 74 = ???,43 + 74 = 117,train
17 + 40 = ???,17 + 40 = 057,train
41 + 08 = ???,41 + 08 = 049,train
75 + 11 = ???,75 + 11 = 086,train
96 + 89 = ???,96 + 89 = 185,train
30 + 88 = ???,30 + 88 = 118,train
10 + 11 = ???,10 + 11 = 021,train
64 + 64 = ???,64 + 64 = 128,train
54 + 01 = ???,54 + 01 = 055,train
86 + 73 = ???,86 + 73 = 159,train
75 + 28 = ???,75 + 28 = 103,train
86 + 37 = ???,86 + 37 = 123,train
19 + 55 = ???,19 + 55 = 074,train
75 + 14 = ???,75 + 14 = 089,train
09 + 19 = ???,09 + 19 = 028,train
59 + 63 = ???,59 + 63 = 122,train
70 + 61 = ???,70 + 61 = 131,train
97 + 08 = ???,97 + 08 = 105,train
75 + 18 = ???,75 + 18 = 093,train
33 + 61 = ???,33 + 61 = 094,train
34 + 40 = ???,34 + 40 = 074,train
53 + 84 = ???,53 + 84 = 137,train
61 + 00 = ???,61 + 00 = 061,train
65 + 15 = ???,65 + 15 = 080,train
09 + 74 = ???,09 + 74 = 083,train
98 + 12 = ???,98 + 12 = 110,train
94 + 32 = ???,94 + 32 = 126,train
29 + 13 = ???,29 + 13 = 042,train
52 + 98 = ???,52 + 98 = 150,train
13 + 86 = ???,13 + 86 = 099,train
42 + 95 = ???,42 + 95 = 137,train
49 + 35 = ???,49 + 35 = 084,train
89 + 26 = ???,89 + 26 = 115,train
42 + 34 = ???,42 + 34 = 076,train
40 + 87 = ???,40 + 87 = 127,train
49 + 63 = ???,49 + 63 = 112,train
68 + 41 = ???,68 + 41 = 109,train
87 + 91 = ???,87 + 91 = 178,train
04 + 33 = ???,04 + 33 = 037,train
37 + 51 = ???,37 + 51 = 088,train
03 + 56 = ???,03 + 56 = 059,train
28 + 60 = ???,28 + 60 = 088,train
53 + 54 = ???,53 + 54 = 107,train
81 + 23 = ???,81 + 23 = 104,train
97 + 84 = ???,97 + 84 = 181,train
41 + 66 = ???,41 + 66 = 107,train
27 + 91 = ???,27 + 91 = 118,train
78 + 70 = ???,78 + 70 = 148,train
08 + 92 = ???,08 + 92 = 100,train
25 + 76 = ???,25 + 76 = 101,train
28 + 08 = ???,28 + 08 = 036,train
12 + 92 = ???,12 + 92 = 104,train
46 + 02 = ???,46 + 02 = 048,train
57 + 29 = ???,57 + 29 = 086,train
07 + 72 = ???,07 + 72 = 079,train
92 + 66 = ???,92 + 66 = 158,train
04 + 06 = ???,04 + 06 = 010,train
46 + 12 = ???,46 + 12 = 058,train
35 + 60 = ???,35 + 60 = 095,train
53 + 10 = ???,53 + 10 = 063,train
20 + 81 = ???,20 + 81 = 101,train
14 + 50 = ???,14 + 50 = 064,train
39 + 04 = ???,39 + 04 = 043,train
69 + 38 = ???,69 + 38 = 107,train
70 + 92 = ???,70 + 92 = 162,train
80 + 00 = ???,80 + 00 = 080,train
56 + 21 = ???,56 + 21 = 077,train
42 + 57 = ???,42 + 57 = 099,train
23 + 83 = ???,23 + 83 = 106,train
36 + 42 = ???,36 + 42 = 078,train
86 + 15 = ???,86 + 15 = 101,train
84 + 78 = ???,84 + 78 = 162,train
31 + 37 = ???,31 + 37 = 068,train
00 + 81 = ???,00 + 81 = 081,train
06 + 99 = ???,06 + 99 = 105,train
35 + 32 = ???,35 + 32 = 067,train
55 + 46 = ???,55 + 46 = 101,train
39 + 79 = ???,39 + 79 = 118,train
59 + 70 = ???,59 + 70 = 129,train
77 + 87 = ???,77 + 87 = 164,train
83 + 96 = ???,83 + 96 = 179,train
62 + 66 = ???,62 + 66 = 128,train
29 + 87 = ???,29 + 87 = 116,train
78 + 16 = ???,78 + 16 = 094,train
10 + 57 = ???,10 + 57 = 067,train
27 + 60 = ???,27 + 60 = 087,train
70 + 44 = ???,70 + 44 = 114,train
54 + 81 = ???,54 + 81 = 135,train
27 + 68 = ???,27 + 68 = 095,train
20 + 26 = ???,20 + 26 = 046,train
58 + 75 = ???,58 + 75 = 133,train
23 + 25 = ???,23 + 25 = 048,train
61 + 61 = ???,61 + 61 = 122,train
27 + 73 = ???,27 + 73 = 100,train
97 + 42 = ???,97 + 42 = 139,train
34 + 47 = ???,34 + 47 = 081,train
65 + 88 = ???,65 + 88 = 153,train
70 + 37 = ???,70 + 37 = 107,train
77 + 91 = ???,77 + 91 = 168,train
51 + 20 = ???,51 + 20 = 071,train
05 + 97 = ???,05 + 97 = 102,train
37 + 62 = ???,37 + 62 = 099,train
64 + 52 = ???,64 + 52 = 116,train
18 + 82 = ???,18 + 82 = 100,train
99 + 02 = ???,99 + 02 = 101,train
90 + 77 = ???,90 + 77 = 167,train
81 + 89 = ???,81 + 89 = 170,train
06 + 61 = ???,06 + 61 = 067,train
94 + 50 = ???,94 + 50 = 144,train
83 + 33 = ???,83 + 33 = 116,train
98 + 73 = ???,98 + 73 = 171,train
51 + 44 = ???,51 + 44 = 095,train
09 + 59 = ???,09 + 59 = 068,train
11 + 55 = ???,11 + 55 = 066,train
32 + 76 = ???,32 + 76 = 108,train
35 + 59 = ???,35 + 59 = 094,train
69 + 93 = ???,69 + 93 = 162,train
57 + 16 = ???,57 + 16 = 073,train
67 + 27 = ???,67 + 27 = 094,train
71 + 68 = ???,71 + 68 = 139,train
69 + 49 = ???,69 + 49 = 118,train
93 + 79 = ???,93 + 79 = 172,train
89 + 76 = ???,89 + 76 = 165,train
20 + 90 = ???,20 + 90 = 110,train
03 + 54 = ???,03 + 54 = 057,train
00 + 08 = ???,00 + 08 = 008,train
75 + 43 = ???,75 + 43 = 118,train
73 + 06 = ???,73 + 06 = 079,train
89 + 04 = ???,89 + 04 = 093,train
73 + 32 = ???,73 + 32 = 105,train
84 + 36 = ???,84 + 36 = 120,train
21 + 53 = ???,21 + 53 = 074,train
51 + 12 = ???,51 + 12 = 063,train
25 + 09 = ???,25 + 09 = 034,train
71 + 87 = ???,71 + 87 = 158,train
11 + 29 = ???,11 + 29 = 040,train
39 + 08 = ???,39 + 08 = 047,train
83 + 63 = ???,83 + 63 = 146,train
48 + 72 = ???,48 + 72 = 120,train
16 + 20 = ???,16 + 20 = 036,train
20 + 76 = ???,20 + 76 = 096,train
96 + 64 = ???,96 + 64 = 160,train
17 + 95 = ???,17 + 95 = 112,train
96 + 28 = ???,96 + 28 = 124,train
12 + 70 = ???,12 + 70 = 082,train
07 + 58 = ???,07 + 58 = 065,train
51 + 04 = ???,51 + 04 = 055,train
40 + 54 = ???,40 + 54 = 094,train
35 + 22 = ???,35 + 22 = 057,train
18 + 34 = ???,18 + 34 = 052,train
49 + 01 = ???,49 + 01 = 050,train
18 + 55 = ???,18 + 55 = 073,train
54 + 02 = ???,54 + 02 = 056,train
43 + 41 = ???,43 + 41 = 084,train
54 + 67 = ???,54 + 67 = 121,train
87 + 10 = ???,87 + 10 = 097,train
61 + 80 = ???,61 + 80 = 141,train
80 + 16 = ???,80 + 16 = 096,train
10 + 15 = ???,10 + 15 = 025,train
81 + 75 = ???,81 + 75 = 156,train
95 + 61 = ???,95 + 61 = 156,train
02 + 61 = ???,02 + 61 = 063,train
79 + 14 = ???,79 + 14 = 093,train
07 + 28 = ???,07 + 28 = 035,train
16 + 22 = ???,16 + 22 = 038,train
54 + 94 = ???,54 + 94 = 148,train
48 + 43 = ???,48 + 43 = 091,train
36 + 18 = ???,36 + 18 = 054,train
71 + 63 = ???,71 + 63 = 134,train
58 + 95 = ???,58 + 95 = 153,train
45 + 06 = ???,45 + 06 = 051,train
27 + 38 = ???,27 + 38 = 065,train
95 + 80 = ???,95 + 80 = 175,train
47 + 31 = ???,47 + 31 = 078,train
28 + 03 = ???,28 + 03 = 031,train
30 + 58 = ???,30 + 58 = 088,train
25 + 67 = ???,25 + 67 = 092,train
92 + 91 = ???,92 + 91 = 183,train
06 + 13 = ???,06 + 13 = 019,train
59 + 60 = ???,59 + 60 = 119,train
47 + 48 = ???,47 + 48 = 095,train
84 + 58 = ???,84 + 58 = 142,train
36 + 31 = ???,36 + 31 = 067,train
43 + 88 = ???,43 + 88 = 131,train
61 + 13 = ???,61 + 13 = 074,train
91 + 39 = ???,91 + 39 = 130,train
15 + 24 = ???,15 + 24 = 039,train
60 + 19 = ???,60 + 19 = 079,train
73 + 05 = ???,73 + 05 = 078,train
24 + 87 = ???,24 + 87 = 111,train
98 + 01 = ???,98 + 01 = 099,train
77 + 47 = ???,77 + 47 = 124,train
51 + 17 = ???,51 + 17 = 068,train
55 + 64 = ???,55 + 64 = 119,train
41 + 43 = ???,41 + 43 = 084,train
31 + 92 = ???,31 + 92 = 123,train
83 + 01 = ???,83 + 01 = 084,train
20 + 93 = ???,20 + 93 = 113,train
27 + 10 = ???,27 + 10 = 037,train
42 + 64 = ???,42 + 64 = 106,train
17 + 22 = ???,17 + 22 = 039,train
17 + 91 = ???,17 + 91 = 108,train
26 + 40 = ???,26 + 40 = 066,train
71 + 00 = ???,71 + 00 = 071,train
36 + 97 = ???,36 + 97 = 133,train
27 + 35 = ???,27 + 35 = 062,train
34 + 70 = ???,34 + 70 = 104,train
05 + 77 = ???,05 + 77 = 082,train
52 + 93 = ???,52 + 93 = 145,train
14 + 46 = ???,14 + 46 = 060,train
92 + 93 = ???,92 + 93 = 185,train
48 + 80 = ???,48 + 80 = 128,train
22 + 24 = ???,22 + 24 = 046,train
63 + 77 = ???,63 + 77 = 140,train
